name,years,reviews,employee,rating,type,highly_rated_for
TCS,55 years old,66.7k,1 Lakh+ Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Accenture,34 years old,42.6k,1 Lakh+ Employees,4.1,IT Services & Consulting,"Company Culture, Job Security, Skill Development / Learning"
Cognizant,29 years old,38.5k,1 Lakh+ Employees,3.9,IT Services & Consulting,"Skill Development / Learning, Job Security"
Wipro,78 years old,35.5k,1 Lakh+ Employees,3.8,IT Services & Consulting,"Job Security, Skill Development / Learning"
ICICI Bank,29 years old,30.9k,1 Lakh+ Employees,4.0,Banking,"Job Security, Skill Development / Learning, Company Culture"
HDFC Bank,29 years old,30.7k,1 Lakh+ Employees,3.9,Banking,"Job Security, Skill Development / Learning"
Infosys,42 years old,29.2k,1 Lakh+ Employees,3.9,IT Services & Consulting,"Job Security, Company Culture, Skill Development / Learning"
Capgemini,56 years old,27k,1 Lakh+ Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning"
Tech Mahindra,37 years old,25.3k,1 Lakh+ Employees,3.7,IT Services & Consulting,null
HCLTech,32 years old,24.8k,1 Lakh+ Employees,3.7,IT Services & Consulting,Job Security
Genpact,26 years old,24.3k,1 Lakh+ Employees,3.9,IT Services & Consulting,"Job Security, Skill Development / Learning, Work Life Balance"
Axis Bank,30 years old,20.3k,50k-1 Lakh Employees,3.8,Banking,Job Security
Concentrix Corporation,40 years old,20.1k,50k-1 Lakh Employees,3.9,BPO,"Job Security, Company Culture"
Amazon,29 years old,19.2k,1 Lakh+ Employees,4.1,Internet,"Company Culture, Salary & Benefits, Work Life Balance"
Reliance Jio,16 years old,18.6k,50k-1 Lakh Employees,3.9,Telecom,"Job Security, Skill Development / Learning"
IBM,112 years old,18.5k,50k-1 Lakh Employees,4.1,Software Product,"Job Security, Work Life Balance, Skill Development / Learning"
Larsen & Toubro Limited,85 years old,17.4k,10k-50k Employees,4.0,Engineering & Construction,"Job Security, Skill Development / Learning"
Reliance Retail,Navi Mumbai +928 more,16.7k,1 Lakh+ Employees,3.9,Retail,"Skill Development / Learning, Job Security"
HDB Financial Services,Ahmedabad +909 more,16.3k,1 Lakh+ Employees,4.0,NBFC,"Skill Development / Learning, Job Security, Company Culture"
Teleperformance,45 years old,15.8k,50k-1 Lakh Employees,3.6,BPO,null
Vodafone Idea,Mumbai +612 more,14.6k,Public,4.2,5k-10k Employees,"Company Culture, Work Life Balance, Skill Development / Learning"
BYJU'S,12 years old,13.5k,10k-50k Employees,3.1,EdTech,"Job Security, Work Life Balance, Company Culture"
Deloitte,London +148 more,13.4k,1 Lakh+ Employees,4.0,Accounting & Auditing,"Job Security, Skill Development / Learning, Salary & Benefits"
Kotak Mahindra Bank,20 years old,13k,50k-1 Lakh Employees,3.8,Banking,Job Security
Reliance Industries,Navi Mumbai +610 more,12.2k,Public,4.0,Oil & Gas,"Job Security, Skill Development / Learning, Work Life Balance"
